Comment,Designator,Footprint,LCSC
1k,"R4,R8,R9",R_0402_1005Metric,C11702
100nF,"C12,C13,C14,C15,C16,C17,C18,C19,C20,C4,C8,C9",C_0402_1005Metric,C1525
4.7nF,C3,C_0402_1005Metric,C1538
22pF,"C1,C2",C_0402_1005Metric,C1555
HRO-M-12,USB1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
RP2040,U1,RP2040-QFN-56,C2040
4.7uF,C10,C_0402_1005Metric,C23733
27,"R2,R3",R_0603_1608Metric,C25190
5.1k,"R5,R6",R_0402_1005Metric,C25905
1M,R7,R_0402_1005Metric,C26083
Reset Button,Reset1,SW_SPST_SKQG_WithStem,C318884
1uF,"C11,C5,C6,C7",C_0402_1005Metric,C52923
XC6206PxxxMR,U4,SOT-23,C5446
500mA,F1,Fuse_1206_3216Metric,C70076
D_Small,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D66,D67,D68,D7,D8,D9",D_SOD-123,C81598
SRV05-4,U2,SOT-23-6-routable,C85364
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
W25Q128JVS,U3,SOIC-8_5.23x5.23mm_P1.27mm,C97521
