Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0402_1005Metric,304.6625,-102.3875,90.0,bottom
C2,22pF,C_0402_1005Metric,300.1625,-103.349375,90.0,bottom
C3,4.7nF,C_0402_1005Metric,189.67875,-31.9275,-90.0,bottom
C4,100nF,C_0402_1005Metric,320.4625,-78.986,-90.0,bottom
C5,1uF,C_0402_1005Metric,200.33875,-42.9875,0.0,bottom
C6,1uF,C_0402_1005Metric,200.33875,-47.4875,0.0,bottom
C7,1uF,C_0402_1005Metric,295.8425,-86.425,180.0,bottom
C8,100nF,C_0402_1005Metric,302.9125,-83.3375,90.0,bottom
C9,100nF,C_0402_1005Metric,294.8425,-102.3875,-90.0,bottom
C10,4.7uF,C_0402_1005Metric,200.33875,-48.4875,0.0,bottom
C11,1uF,C_0402_1005Metric,295.8425,-87.425,180.0,bottom
C12,100nF,C_0402_1005Metric,300.9125,-83.3375,90.0,bottom
C13,100nF,C_0402_1005Metric,301.9125,-83.3375,90.0,bottom
C14,100nF,C_0402_1005Metric,303.9125,-83.3375,90.0,bottom
C15,100nF,C_0402_1005Metric,295.8425,-88.425,180.0,bottom
C16,100nF,C_0402_1005Metric,295.8425,-89.425,180.0,bottom
C17,100nF,C_0402_1005Metric,308.9825,-89.425,0.0,bottom
C18,100nF,C_0402_1005Metric,295.8425,-93.8625,180.0,bottom
C19,100nF,C_0402_1005Metric,308.9825,-93.8625,0.0,bottom
C20,100nF,C_0402_1005Metric,296.8425,-102.3875,-90.0,bottom
D1,D_Small,D_SOD-123,53.1,-51.65,90.0,bottom
D2,D_Small,D_SOD-123,72.15,-51.65,90.0,bottom
D3,D_Small,D_SOD-123,91.2,-51.65,90.0,bottom
D4,D_Small,D_SOD-123,110.25,-51.65,90.0,bottom
D5,D_Small,D_SOD-123,129.3,-51.65,90.0,bottom
D6,D_Small,D_SOD-123,148.35,-51.65,90.0,bottom
D7,D_Small,D_SOD-123,167.4,-51.65,90.0,bottom
D8,D_Small,D_SOD-123,224.55,-46.8875,90.0,bottom
D9,D_Small,D_SOD-123,243.6,-46.8875,90.0,bottom
D10,D_Small,D_SOD-123,256.45,-46.8875,90.0,bottom
D11,D_Small,D_SOD-123,281.7,-46.8875,90.0,bottom
D12,D_Small,D_SOD-123,305.5125,-46.8875,90.0,bottom
D13,D_Small,D_SOD-123,324.5625,-46.8875,90.0,bottom
D14,D_Small,D_SOD-123,343.6125,-46.8875,90.0,bottom
D15,D_Small,D_SOD-123,53.1,-70.7,90.0,bottom
D16,D_Small,D_SOD-123,72.15,-70.7,90.0,bottom
D17,D_Small,D_SOD-123,91.2,-70.7,90.0,bottom
D18,D_Small,D_SOD-123,110.25,-70.7,90.0,bottom
D19,D_Small,D_SOD-123,129.3,-70.7,90.0,bottom
D20,D_Small,D_SOD-123,148.35,-70.7,90.0,bottom
D21,D_Small,D_SOD-123,167.4,-70.7,90.0,bottom
D22,D_Small,D_SOD-123,186.45,-70.7,90.0,bottom
D23,D_Small,D_SOD-123,205.5,-70.7,90.0,bottom
D24,D_Small,D_SOD-123,224.55,-70.7,90.0,bottom
D25,D_Small,D_SOD-123,243.6,-70.7,90.0,bottom
D26,D_Small,D_SOD-123,256.45,-70.7,90.0,bottom
D27,D_Small,D_SOD-123,281.7,-70.7,90.0,bottom
D28,D_Small,D_SOD-123,305.5125,-65.9375,90.0,bottom
D29,D_Small,D_SOD-123,324.5625,-65.9375,90.0,bottom
D30,D_Small,D_SOD-123,343.6125,-65.9375,90.0,bottom
D31,D_Small,D_SOD-123,55.48125,-89.75,90.0,bottom
D32,D_Small,D_SOD-123,76.9125,-89.75,90.0,bottom
D33,D_Small,D_SOD-123,95.9625,-89.75,90.0,bottom
D34,D_Small,D_SOD-123,115.0125,-89.75,90.0,bottom
D35,D_Small,D_SOD-123,134.0625,-89.75,90.0,bottom
D36,D_Small,D_SOD-123,153.1125,-89.75,90.0,bottom
D37,D_Small,D_SOD-123,172.1625,-89.75,90.0,bottom
D38,D_Small,D_SOD-123,191.2125,-89.75,90.0,bottom
D39,D_Small,D_SOD-123,210.2625,-89.75,90.0,bottom
D40,D_Small,D_SOD-123,229.3125,-89.75,90.0,bottom
D41,D_Small,D_SOD-123,248.3625,-89.75,90.0,bottom
D42,D_Small,D_SOD-123,274.55625,-89.75,90.0,bottom
D43,D_Small,D_SOD-123,60.24375,-108.8,90.0,bottom
D44,D_Small,D_SOD-123,86.4375,-108.8,90.0,bottom
D45,D_Small,D_SOD-123,105.4875,-108.8,90.0,bottom
D46,D_Small,D_SOD-123,124.5375,-108.8,90.0,bottom
D47,D_Small,D_SOD-123,143.5875,-108.8,90.0,bottom
D48,D_Small,D_SOD-123,162.6375,-108.8,90.0,bottom
D49,D_Small,D_SOD-123,181.6875,-108.8,90.0,bottom
D50,D_Small,D_SOD-123,200.7375,-108.8,90.0,bottom
D51,D_Small,D_SOD-123,219.7875,-108.8,90.0,bottom
D52,D_Small,D_SOD-123,238.8375,-108.8,90.0,bottom
D53,D_Small,D_SOD-123,257.8875,-108.8,90.0,bottom
D54,D_Small,D_SOD-123,279.31875,-108.8,90.0,bottom
D55,D_Small,D_SOD-123,324.5625,-108.8,90.0,bottom
D56,D_Small,D_SOD-123,61.90625,-127.85,90.0,bottom
D57,D_Small,D_SOD-123,65.95,-127.85,90.0,bottom
D58,D_Small,D_SOD-123,98.34375,-127.85,90.0,bottom
D59,D_Small,D_SOD-123,122.15625,-127.85,90.0,bottom
